Nation,NOC,Year,Sport,Event,Medal
Finland,FIN,1924,Athletics,"Athletics Men's Cross-Country, Individual",Gold
Finland,FIN,1928,Athletics,"Athletics Men's 5,000 metres",Silver
Finland,FIN,1928,Athletics,"Athletics Men's 10,000 metres",Gold
Finland,FIN,1928,Athletics,"Athletics Men's 3,000 metres Steeplechase",Silver
Uzbekistan,UZB,2016,Weightlifting,Weightlifting Men's Heavyweight,Gold
Russia,EUN,1992,Athletics,Athletics Women's 800 metres,Silver
Germany,GER,1936,Art Competitions,"Art Competitions Mixed Architecture, Designs For Town Planning",Bronze
Mongolia,MGL,2012,Boxing,Boxing Men's Flyweight,Silver
Tanzania,TAN,1980,Athletics,"Athletics Men's 5,000 metres",Silver
Finland,FIN,1932,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Finland,FIN,1936,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Sweden,SWE,1936,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Sweden,SWE,1964,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Bronze
Finland,FIN,1928,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Finland,FIN,1936,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze
South Korea,KOR,1996,Archery,Archery Men's Individual,Bronze
North Korea,PRK,2008,Weightlifting,Weightlifting Women's Lightweight,Bronze
South Korea,KOR,2008,Table Tennis,Table Tennis Men's Team,Bronze
South Korea,KOR,1972,Judo,Judo Men's Middleweight,Silver
UK,GBR,1980,Athletics,Athletics Men's 400 metres Hurdles,Bronze
USA,USA,1996,Athletics,Athletics Men's Decathlon,Gold
Australia,AUS,1964,Swimming,Swimming Men's 200 metres Breaststroke,Gold
USA,USA,1984,Swimming,"Swimming Men's 1,500 metres Freestyle",Gold
USA,USA,1952,Athletics,Athletics Men's Shot Put,Gold
USA,USA,1956,Athletics,Athletics Men's Shot Put,Gold
USA,USA,1960,Athletics,Athletics Men's Shot Put,Silver
New Zealand,NZL,1984,Rowing,Rowing Men's Coxless Fours,Gold
Serbia,YUG,1976,Judo,Judo Men's Middleweight,Bronze
Gabon,GAB,2012,Taekwondo,Taekwondo Men's Heavyweight,Silver
Japan,JPN,2012,Wrestling,"Wrestling Women's Flyweight, Freestyle",Gold
Italy,ITA,1984,Weightlifting,Weightlifting Men's Heavyweight II,Gold
Germany,GER,2008,Athletics,Athletics Women's Javelin Throw,Bronze
Germany,GER,2012,Athletics,Athletics Women's Javelin Throw,Silver
USA,USA,1924,Athletics,Athletics Men's Javelin Throw,Bronze
Italy,ITA,1936,Athletics,Athletics Men's Discus Throw,Bronze
Portugal,POR,2004,Athletics,Athletics Men's 100 metres,Silver
Kenya,KEN,2016,Athletics,"Athletics Women's 5,000 metres",Silver
Austria,AUT,2008,Canoeing,"Canoeing Women's Kayak Singles, Slalom",Bronze
Czech Republic,TCH,1932,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Bronze
France,FRA,2000,Fencing,"Fencing Men's epee, Individual",Silver
Ireland,IRL,1928,Athletics,Athletics Men's Hammer Throw,Gold
Ireland,IRL,1932,Athletics,Athletics Men's Hammer Throw,Gold
Ireland,IRL,2012,Equestrianism,"Equestrianism Mixed Jumping, Individual",Bronze
USA,USA,2000,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Gold
UK,GBR,1906,Athletics,Athletics Men's Long Jump,Silver
UK,GBR,1906,Athletics,Athletics Men's Triple Jump,Gold
UK,GBR,2016,Swimming,Swimming Women's 200 metres Individual Medley,Silver
USA,USA,1904,Fencing,"Fencing Men's Single Sticks, Individual",Silver
Italy,ITA,2012,Fencing,"Fencing Men's Sabre, Individual",Silver
Kenya,KEN,2004,Athletics,"Athletics Women's 5,000 metres",Silver
Russia,RUS,2012,Boxing,Boxing Women's Lightweight,Silver
USA,USA,1988,Archery,Archery Women's Team,Bronze
Poland,POL,1964,Fencing,"Fencing Men's Sabre, Team",Bronze
Ireland,IRL,2016,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Japan,JPN,1928,Athletics,Athletics Men's Triple Jump,Gold
UK,GBR,1936,Athletics,Athletics Women's High Jump,Silver
UK,GBR,1948,Athletics,Athletics Women's High Jump,Silver
Czech Republic,TCH,1964,Athletics,"Athletics Men's 1,500 metres",Silver
Japan,JPN,1936,Athletics,Athletics Men's Pole Vault,Bronze
Germany,GER,1928,Fencing,"Fencing Women's Foil, Individual",Bronze
Germany,GDR,1980,Athletics,Athletics Women's 100 metres,Silver
Norway,NOR,2008,Swimming,Swimming Men's 100 metres Breaststroke,Silver
USA,USA,1956,Athletics,Athletics Men's Discus Throw,Gold
USA,USA,1960,Athletics,Athletics Men's Discus Throw,Gold
USA,USA,1964,Athletics,Athletics Men's Discus Throw,Gold
USA,USA,1968,Athletics,Athletics Men's Discus Throw,Gold
Australia,AUS,1996,Cycling,Cycling Men's Points Race,Bronze
Turkey,TUR,1960,Wrestling,"Wrestling Men's Welterweight, Freestyle",Silver
Turkey,TUR,1964,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold
Russia,URS,1980,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold
Japan,JPN,1992,Judo,Judo Men's Heavyweight,Silver
Nigeria,NGR,2000,Weightlifting,Weightlifting Women's Heavyweight,Silver
Italy,ITA,1956,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze
Nigeria,NGR,1996,Athletics,Athletics Women's 400 metres,Bronze
South Korea,KOR,2016,Taekwondo,Taekwondo Women's Welterweight,Gold
South Korea,KOR,2012,Archery,Archery Men's Individual,Gold
Sweden,SWE,1920,Athletics,Athletics Men's Decathlon,Bronze
Sweden,SWE,1952,Sailing,Sailing Mixed 5.5 metres,Bronze
Japan,JPN,1964,Weightlifting,Weightlifting Men's Middleweight,Bronze
Japan,JPN,1968,Weightlifting,Weightlifting Men's Middleweight,Silver
UK,GBR,2008,Athletics,Athletics Women's 400 metres,Gold
UK,GBR,2012,Athletics,Athletics Women's 400 metres,Silver
Finland,FIN,1952,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
UK,GBR,1908,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold
Nigeria,NGR,2008,Athletics,Athletics Women's Long Jump,Bronze
Brazil,BRA,1952,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze
Japan,JPN,2000,Taekwondo,Taekwondo Women's Welterweight,Bronze
Japan,JPN,1964,Judo,Judo Men's Middleweight,Gold
Brazil,BRA,2016,Swimming,Swimming Women's 10 kilometres Open Water,Bronze
Russia,URS,1968,Athletics,Athletics Women's High Jump,Silver
Turkey,TUR,1948,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
Japan,JPN,2016,Badminton,Badminton Women's Singles,Bronze
Japan,JPN,1992,Synchronized Swimming,Synchronized Swimming Women's Solo,Bronze
Japan,JPN,1992,Synchronized Swimming,Synchronized Swimming Women's Duet,Bronze
Spain,ESP,2008,Cycling,Cycling Women's Points Race,Bronze
Spain,ESP,1996,Cycling,Cycling Men's Individual Time Trial,Silver
Romania,ROU,1984,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
Romania,ROU,2000,Gymnastics,Gymnastics Women's Individual All-Around,Silver
Turkey,TUR,1948,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Canada,CAN,2012,Canoeing,"Canoeing Men's Canadian Singles, 1,000 metres",Bronze
UK,GBR,2012,Gymnastics,Gymnastics Men's Team All-Around,Bronze
UK,GBR,1908,Boxing,Boxing Men's Heavyweight,Gold
Poland,POL,1964,Boxing,Boxing Men's Flyweight,Silver
Poland,POL,1968,Boxing,Boxing Men's Flyweight,Silver
Poland,POL,1988,Fencing,"Fencing Men's Sabre, Individual",Silver
Canada,CAN,2016,Swimming,Swimming Women's 100 metres Butterfly,Silver
Russia,URS,1968,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Silver
Romania,ROU,1984,Rowing,Rowing Women's Double Sculls,Gold
Romania,ROU,1992,Rowing,Rowing Women's Single Sculls,Gold
Belarus,BLR,2000,Weightlifting,Weightlifting Men's Featherweight,Bronze
Italy,ITA,1924,Rowing,Rowing Men's Coxed Pairs,Silver
Finland,FIN,1912,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Silver
Italy,ITA,1980,Boxing,Boxing Men's Light-Welterweight,Gold
Brazil,BRA,2008,Sailing,Sailing Women's Two Person Dinghy,Bronze
USA,USA,2008,Athletics,Athletics Men's 110 metres Hurdles,Bronze
France,FRA,1908,Fencing,"Fencing Men's epee, Individual",Bronze
France,FRA,2016,Swimming,Swimming Men's 10 kilometres Open Water,Bronze
Ukraine,UKR,1996,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Gold
Russia,URS,1980,Athletics,Athletics Women's 800 metres,Gold
Russia,URS,1980,Athletics,"Athletics Women's 1,500 metres",Bronze
Belgium,BEL,1924,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver
Sweden,SWE,1920,Diving,Diving Women's Plain High,Bronze
Italy,ITA,1932,Cycling,"Cycling Men's Road Race, Team",Gold
France,FRA,1972,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
Denmark,DEN,2004,Athletics,Athletics Men's Shot Put,Silver
Norway,NOR,1920,Shooting,"Shooting Men's Military Rifle, Prone, 300 metres",Gold
Norway,NOR,1920,Shooting,"Shooting Men's Running Target, Single Shot",Gold
Norway,NOR,1924,Shooting,"Shooting Men's Running Target, Single Shot",Bronze
Denmark,DEN,1932,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
USA,USA,1948,Diving,Diving Women's Springboard,Silver
USA,USA,1952,Diving,Diving Women's Springboard,Bronze
Sweden,SWE,1928,Equestrianism,"Equestrianism Men's Dressage, Individual",Bronze
Sweden,SWE,2004,Athletics,Athletics Men's Triple Jump,Gold
Sweden,SWE,1992,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",Silver
Sweden,SWE,1948,Art Competitions,"Art Competitions Mixed Architecture, Architectural Designs",Bronze
North Korea,PRK,2012,Weightlifting,Weightlifting Men's Bantamweight,Gold
North Korea,PRK,2016,Weightlifting,Weightlifting Men's Bantamweight,Silver
France,FRA,1992,Fencing,"Fencing Men's Foil, Individual",Gold
Australia,AUS,1992,Swimming,Swimming Women's 200 metres Butterfly,Bronze
Australia,AUS,1996,Swimming,Swimming Women's 200 metres Butterfly,Gold
Australia,AUS,2000,Swimming,Swimming Women's 200 metres Freestyle,Gold
Australia,AUS,2000,Swimming,Swimming Women's 200 metres Butterfly,Silver
Japan,JPN,2016,Judo,Judo Men's Lightweight,Gold
Japan,JPN,1952,Gymnastics,Gymnastics Men's Horse Vault,Bronze
Japan,JPN,1956,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Japan,JPN,1956,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Japan,JPN,1956,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Japan,JPN,1956,Gymnastics,Gymnastics Men's Pommelled Horse,Silver
Japan,JPN,1960,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Japan,JPN,1960,Gymnastics,Gymnastics Men's Horse Vault,Gold
Japan,JPN,1960,Gymnastics,Gymnastics Men's Parallel Bars,Bronze
Japan,JPN,1960,Gymnastics,Gymnastics Men's Horizontal Bar,Gold
Hungary,HUN,1992,Gymnastics,Gymnastics Women's Floor Exercise,Silver
Nigeria,NGR,1996,Athletics,Athletics Women's 200 metres,Bronze
Kenya,KEN,1996,Athletics,Athletics Men's 800 metres,Bronze
Russia,URS,1972,Modern Pentathlon,Modern Pentathlon Men's Individual,Silver
Russia,RUS,2000,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Silver
Russia,RUS,2004,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
Russia,RUS,2008,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Gold
Germany,GER,2004,Rowing,Rowing Women's Double Sculls,Silver
Romania,ROU,2004,Athletics,Athletics Men's Triple Jump,Silver
Colombia,COL,2012,Cycling,Cycling Men's BMX,Bronze
Egypt,EGY,1948,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Bronze
Hungary,HUN,1972,Boxing,Boxing Men's Lightweight,Silver
Belgium,BEL,1906,Rowing,Rowing Men's Coxed Pairs (1 mile),Silver
Romania,ROU,1956,Fencing,"Fencing Women's Foil, Individual",Silver
Greece,GRE,1896,Shooting,"Shooting Men's Muzzle-Loading Pistol, 25 metres",Silver
Greece,GRE,1896,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Gold
Greece,GRE,1906,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
Italy,ITA,1928,Boxing,Boxing Men's Lightweight,Gold
Russia,RUS,1908,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver
Spain,ESP,2016,Athletics,Athletics Men's 110 metres Hurdles,Silver
Mexico,MEX,1936,Boxing,Boxing Men's Bantamweight,Bronze
Cuba,CUB,2008,Judo,Judo Women's Heavyweight,Bronze
Cuba,CUB,2012,Judo,Judo Women's Heavyweight,Gold
Cuba,CUB,2016,Judo,Judo Women's Heavyweight,Silver
Puerto Rico,PUR,1984,Boxing,Boxing Men's Lightweight,Silver
Canada,CAN,1900,Athletics,Athletics Men's 400 metres Hurdles,Bronze
Canada,CAN,1900,Athletics,"Athletics Men's 2,500 metres Steeplechase",Gold
Azerbaijan,AZE,2016,Judo,Judo Men's Lightweight,Silver
Russia,EUN,1992,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Bronze
Denmark,DEN,1980,Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",Bronze
USA,USA,1968,Diving,Diving Women's Springboard,Bronze
Canada,CAN,1984,Boxing,Boxing Men's Light-Middleweight,Silver
Ireland,IRL,2000,Athletics,"Athletics Women's 5,000 metres",Silver
Japan,JPN,1960,Swimming,Swimming Men's 200 metres Breaststroke,Silver
Japan,JPN,1988,Judo,Judo Men's Middleweight,Bronze
USA,USA,1924,Athletics,Athletics Men's High Jump,Gold
USA,USA,1924,Athletics,Athletics Men's Decathlon,Gold
UK,GBR,1976,Sailing,Sailing Mixed Multihull,Gold
USA,USA,1912,Shooting,"Shooting Men's Military Rifle, Three Positions, 300 metres",Silver
USA,USA,1912,Shooting,"Shooting Men's Military Rifle, Any Position, 600 metres",Silver
USA,USA,1920,Shooting,"Shooting Men's Military Rifle, Standing, 300 metres",Gold
USA,USA,1924,Shooting,"Shooting Men's Free Rifle, Prone, 600 metres",Silver
USA,USA,1932,Athletics,Athletics Women's Discus Throw,Silver
Netherlands,NED,1936,Athletics,Athletics Men's 100 metres,Bronze
Netherlands,NED,1936,Athletics,Athletics Men's 200 metres,Bronze
Japan,JPN,1932,Athletics,Athletics Men's Triple Jump,Bronze
Denmark,DEN,1924,Fencing,"Fencing Women's Foil, Individual",Gold
Denmark,DEN,1912,Fencing,"Fencing Men's epee, Individual",Silver
USA,USA,1928,Swimming,Swimming Women's 100 metres Freestyle,Gold
Russia,URS,1980,Weightlifting,Weightlifting Men's Flyweight,Gold
Russia,URS,1976,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Belgium,BEL,1920,Art Competitions,Art Competitions Mixed Painting,Bronze
Belarus,BLR,2008,Athletics,Athletics Women's Shot Put,Bronze
France,FRA,1948,Athletics,Athletics Women's High Jump,Bronze
France,FRA,1948,Athletics,Athletics Women's Shot Put,Gold
France,FRA,1948,Athletics,Athletics Women's Discus Throw,Gold
USA,USA,1904,Weightlifting,"Weightlifting Men's Unlimited, Two Hands",Silver
USA,USA,1904,Weightlifting,Weightlifting Men's All-Around Dumbbell Contest,Gold
Poland,POL,1936,Art Competitions,"Art Competitions Mixed Painting, Applied Arts",Bronze
Sweden,SWE,1952,Swimming,Swimming Men's 400 metres Freestyle,Bronze
Ukraine,UKR,2008,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Gold
Ukraine,UKR,2012,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Silver
Ukraine,UKR,2012,Canoeing,"Canoeing Women's Kayak Singles, 500 metres",Silver
Azerbaijan,AZE,2016,Canoeing,"Canoeing Women's Kayak Singles, 200 metres",Bronze
Norway,NOR,1920,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze
Norway,NOR,1900,Shooting,"Shooting Men's Free Rifle, Three Positions, 300 metres",Bronze
Norway,NOR,1900,Shooting,"Shooting Men's Free Rifle, Prone, 300 metres",Bronze
Norway,NOR,1900,Shooting,"Shooting Men's Free Rifle, Standing, 300 metres",Silver
Japan,JPN,1984,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Japan,JPN,1988,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Japan,JPN,2016,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Silver
Japan,JPN,1996,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze
Japan,JPN,2008,Fencing,"Fencing Men's Foil, Individual",Silver
Russia,RUS,2012,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Mongolia,MGL,2008,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Silver
Bulgaria,BUL,1976,Rowing,Rowing Women's Double Sculls,Gold
Canada,CAN,1984,Swimming,Swimming Women's 100 metres Breaststroke,Silver
Canada,CAN,1984,Swimming,Swimming Women's 200 metres Breaststroke,Gold
Jamaica,JAM,1980,Athletics,Athletics Women's 200 metres,Bronze
Jamaica,JAM,1984,Athletics,Athletics Women's 100 metres,Bronze
Jamaica,JAM,1984,Athletics,Athletics Women's 200 metres,Bronze
Jamaica,JAM,1992,Athletics,Athletics Women's 200 metres,Bronze
Jamaica,JAM,1996,Athletics,Athletics Women's 100 metres,Silver
Jamaica,JAM,1996,Athletics,Athletics Women's 200 metres,Silver
Jamaica,JAM,2000,Athletics,Athletics Women's 100 metres,Bronze
UK,GBR,1984,Athletics,Athletics Men's Javelin Throw,Silver
Germany,GER,2012,Athletics,Athletics Men's Pole Vault,Silver
Germany,GDR,1988,Swimming,Swimming Women's 50 metres Freestyle,Gold
Germany,GDR,1988,Swimming,Swimming Women's 100 metres Freestyle,Gold
Germany,GDR,1988,Swimming,Swimming Women's 100 metres Backstroke,Gold
Germany,GDR,1988,Swimming,Swimming Women's 100 metres Butterfly,Gold
France,FRA,1988,Equestrianism,"Equestrianism Mixed Dressage, Individual",Silver
Italy,ITA,1968,Athletics,Athletics Men's 110 metres Hurdles,Bronze
Canada,CAN,1956,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
France,FRA,2016,Boxing,Boxing Men's Lightweight,Silver
France,FRA,2016,Boxing,Boxing Women's Flyweight,Silver
Ukraine,UKR,2004,Athletics,Athletics Women's 100 metres Hurdles,Silver
UK,GBR,1980,Athletics,Athletics Men's 800 metres,Gold
UK,GBR,1980,Athletics,"Athletics Men's 1,500 metres",Bronze
Germany,GER,2012,Table Tennis,Table Tennis Men's Singles,Bronze
UK,GBR,1908,Athletics,Athletics Men's 5 mile,Silver
USA,USA,1936,Athletics,Athletics Men's 100 metres,Gold
USA,USA,1936,Athletics,Athletics Men's 200 metres,Gold
USA,USA,1936,Athletics,Athletics Men's Long Jump,Gold
Sweden,SWE,1932,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
USA,USA,1952,Swimming,Swimming Men's 100 metres Backstroke,Gold
Japan,JPN,1932,Swimming,Swimming Men's 400 metres Freestyle,Bronze
Turkey,TUR,2004,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
Poland,POL,1968,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
Poland,POL,1972,Weightlifting,Weightlifting Men's Light-Heavyweight,Silver
Turkey,TUR,2000,Judo,Judo Men's Half-Lightweight,Gold
Turkey,TUR,2008,Weightlifting,Weightlifting Women's Flyweight,Silver
Russia,URS,1960,Athletics,Athletics Women's Javelin Throw,Gold
Latvia,LAT,1992,Cycling,"Cycling Men's Road Race, Individual",Bronze
USA,USA,1976,Archery,Archery Men's Individual,Gold
USA,USA,1984,Archery,Archery Men's Individual,Gold
Argentina,ARG,1952,Boxing,Boxing Men's Light-Heavyweight,Silver
UK,GBR,1964,Athletics,Athletics Women's 400 metres,Silver
UK,GBR,1964,Athletics,Athletics Women's 800 metres,Gold
France,FRA,1928,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver
France,FRA,1932,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
USA,USA,1920,Athletics,Athletics Men's 100 metres,Gold
USA,USA,1920,Athletics,Athletics Men's 200 metres,Silver
USA,USA,1924,Athletics,Athletics Men's 200 metres,Silver
Russia,RUS,2008,Shooting,"Shooting Women's Air Pistol, 10 metres",Silver
North Korea,PRK,1992,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Portugal,POR,1948,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
India,IND,1996,Tennis,Tennis Men's Singles,Bronze
UK,GBR,2016,Trampolining,Trampolining Women's Individual,Silver
USA,USA,1984,Boxing,Boxing Men's Light-Welterweight,Gold
Australia,AUS,2008,Sailing,Sailing Men's Two Person Dinghy,Gold
USA,USA,1968,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",Bronze
Netherlands,NED,1928,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold
Netherlands,NED,1932,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Gold
Netherlands,NED,1932,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Silver
USA,USA,2016,Sailing,Sailing Men's One Person Heavyweight Dinghy,Bronze
USA,USA,1896,Shooting,"Shooting Men's Military Pistol, 25 metres",Gold
USA,USA,1896,Shooting,"Shooting Men's Free Pistol, 30 metres",Gold
USA,USA,1896,Shooting,"Shooting Men's Military Pistol, 25 metres",Silver
Austria,AUT,2008,Judo,Judo Men's Extra-Lightweight,Silver
Colombia,COL,2012,Cycling,Cycling Women's BMX,Gold
Colombia,COL,2016,Cycling,Cycling Women's BMX,Gold
France,FRA,1972,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Silver
North Korea,PRK,2008,Weightlifting,Weightlifting Women's Middleweight,Gold
Russia,RUS,2004,Diving,Diving Women's Springboard,Bronze
Russia,RUS,2008,Diving,Diving Women's Springboard,Silver
Russia,RUS,2008,Diving,Diving Women's Synchronized Springboard,Silver
Ukraine,UKR,1996,Sailing,Sailing Women's Two Person Dinghy,Bronze
